type,instnm,zip,fips,lon,lat,enroltot,frlpct,csr,magnet,charter,advise_org_1,advise_org_2,advise_org_3,advise_org_4,advise_org_5,advise_org_6,advise_org_7,advise_div_1,advise_div_2,advise_div_3,advise_div_4,advise_div_5,advise_div_6,advise_div_7,advise_tri_1,advise_tri_2,advise_tri_3,advise_tri_4,advise_tri_5,advise_web_1,advise_web_2,advise_web_3,advise_web_4,advise_web_5,advise_web_6,advise_web_7
high school,Hanford West High,NA,6,-119.66191,36.33054,1324,57,331,0,0,TRIO,NA,NA,NA,NA,NA,NA,TRIO: West Hills College,NA,NA,NA,NA,NA,NA,Upward Bound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Sierra Pacific High,NA,6,-119.68994000000001,36.337212,810,56,405,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Pathways Charter,NA,6,-122.70989,38.354431,521,38,1042,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Hart-Ransom Academic Charter,NA,6,-121.06656,37.666775,276,40,276,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Hawthorne Math and Science Academy,NA,6,-118.35411,33.920326,570,79,570,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Hayward High,NA,6,-122.0685,37.671803,1642,75,328,0,0,TRIO,Early Academic Outreach Program,Summer Search,College Advising Corps,NA,NA,NA,TRIO: Chabot College,UC Berkeley EAOP,Summer Search: Silicon Valley,CAC: University of California Berkeley,NA,NA,NA,Talent Search,NA,NA,NA,NA,NA,http://eaop.berkeley.edu/,https://www.summersearch.org/home,http://dcac.berkeley.edu,NA,NA,NA
high school,Mt. Eden High,NA,6,-122.09014,37.624798,1864,69,311,0,0,TRIO,Early Academic Outreach Program,Summer Search,College Advising Corps,NA,NA,NA,TRIO: Chabot College,UC Berkeley EAOP,Summer Search: Silicon Valley,CAC: University of California Berkeley,NA,NA,NA,Talent Search,NA,NA,NA,NA,NA,http://eaop.berkeley.edu/,https://www.summersearch.org/home,http://dcac.berkeley.edu,NA,NA,NA
high school,Tennyson High,NA,6,-122.0662,37.642632,1336,83,267,0,0,TRIO,Early Academic Outreach Program,Summer Search,College Advising Corps,NA,NA,NA,TRIO: Chabot College,UC Berkeley EAOP,Summer Search: Silicon Valley,CAC: University of California Berkeley,NA,NA,NA,Talent Search,NA,NA,NA,NA,NA,http://eaop.berkeley.edu/,https://www.summersearch.org/home,http://dcac.berkeley.edu,NA,NA,NA
high school,Leadership Public Schools - Hayward,NA,6,-122.08759,37.623901,474,60,365,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Impact Academy of Arts & Technology,NA,6,-122.10244,37.631271,NA,60,484.01874490627546,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Silver Oak High Public Montessori Charter,NA,6,-122.07337,37.66264,59,54,59,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Academy of Careers and Exploration,NA,6,-117.35762,34.734631,278,58,927,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Empire Springs Charter,NA,6,-117.32899,34.74036,NA,29,484.01874490627546,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Alta Vista South Public Charter,NA,6,-117.29833000000001,34.102654,NA,92,484.01874490627546,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Independence Charter Academy,NA,6,-117.32899,34.74036,NA,78,484.01874490627546,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Hemet High,NA,6,-116.93384,33.72858,2395,69,510,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
